date,away_team,home_team,market_total,total_runs,model_total,bet_side,odds,best_ev,over_probability,under_probability,result,profit_units
2026-06-30,TEX,CLE,8.5,6.0,7.987127403819229,under,-110,0.03820040169469241,0.4561807419694469,0.5438192580305531,win,0.9091
2026-06-30,DET,NYY,8.5,12.0,9.046279720331915,over,-110,0.04394182948910519,0.5468266725895312,0.45317332741046873,win,0.9091
2026-06-30,NYM,TOR,9.5,3.0,8.682687861054786,under,-110,0.08812314476436311,0.43003073369485745,0.5699692663051426,win,0.9091
2026-06-30,STL,ATL,8.0,8.0,7.01650782226641,under,-110,0.11520671257496296,0.4158441029369242,0.5841558970630758,push,0.0
2026-06-30,TBR,KCR,10.0,14.0,10.565372777552431,over,-110,0.04759169897573945,0.548738508987292,0.45126149101270796,win,0.9091
2026-06-30,CIN,MIL,8.0,9.0,8.486098815428896,over,-110,0.03469824312136782,0.5419847940159546,0.4580152059840455,win,0.9091
2026-06-30,SDP,CHC,9.5,16.0,10.442692575345822,over,-110,0.1095799231165282,0.5812085311562767,0.4187914688437233,win,0.9091
2026-06-30,MIN,HOU,10.0,10.0,9.206397739208818,under,-110,0.08521269808742016,0.4315552533827799,0.5684447466172201,push,0.0
2026-06-30,MIA,COL,10.5,17.0,11.256696391298291,over,-110,0.07949317857174187,0.5654488078232933,0.4345511921767067,win,0.9091
2026-06-30,SFG,ARI,8.5,10.0,9.52103841103095,over,-110,0.12284412326351712,0.5881564455189852,0.4118435544810149,win,0.9091
2026-07-01,DET,NYY,9.0,8.0,9.663770673577714,over,-110,0.06497965743014911,0.5578464872253162,0.44215351277468384,loss,-1.0
2026-07-01,SDP,CHC,10.0,26.0,10.717602435428883,over,-110,0.07411370206861823,0.5626309867978476,0.4373690132021524,win,0.9091
2026-07-01,NYM,TOR,9.0,12.0,7.859428147719529,under,-110,0.1391530106887171,0.4033008039249577,0.5966991960750423,loss,-1.0
2026-07-01,STL,ATL,8.0,6.0,7.218694789762679,under,-110,0.08176374055750468,0.4333618501841643,0.5666381498158357,win,0.9091
2026-07-01,TBR,KCR,10.5,4.0,11.294006716637286,over,-110,0.08410258571223839,0.567863259182601,0.43213674081739895,loss,-1.0
2026-07-01,MIN,HOU,10.0,11.0,9.365696274234535,under,-110,0.05793349716195473,0.44584435862945226,0.5541556413705477,loss,-1.0
2026-07-01,CIN,MIL,8.5,6.0,9.2891123501163,over,-110,0.08321021812898088,0.5673958285437519,0.432604171456248,loss,-1.0
2026-07-01,MIA,COL,11.0,9.0,11.895364982400002,over,-110,0.1005023315909408,0.5764536022619213,0.42354639773807873,loss,-1.0
2026-07-01,SFG,ARI,8.5,10.0,9.436353760642456,over,-110,0.10759051055567515,0.5801664579101156,0.41983354208988444,win,0.9091
2026-07-02,CIN,MIL,8.0,9.0,8.817384782899007,over,-110,0.08870376346638364,0.5702733999109628,0.4297266000890372,win,0.9091
2026-07-02,MIA,COL,11.0,18.0,11.63085397996728,over,-110,0.0585425944044029,0.5544746923070681,0.44552530769293186,win,0.9091
2026-07-02,STL,ATL,8.0,16.0,7.481515148882944,under,-110,0.04009544234536544,0.4551881016286181,0.5448118983713819,loss,-1.0
2026-07-02,TBR,KCR,10.0,7.0,10.464194092036916,over,-110,0.0307519950734223,0.5399177117051259,0.4600822882948741,loss,-1.0
2026-07-02,DET,TEX,9.0,14.0,9.773841248385086,over,-110,0.08133281427040151,0.5664124265225913,0.4335875734774087,win,0.9091
2026-07-03,STL,CHC,11.0,18.0,11.54583706936651,over,-110,0.04338045281490244,0.5465326181411394,0.45346738185886065,win,0.9091
2026-07-03,MIN,NYY,10.0,7.0,9.382466697478574,under,-110,0.05483651455612648,0.4474665876134576,0.5525334123865424,win,0.9091
2026-07-03,BAL,CIN,9.0,3.0,10.149487347866405,over,-110,0.1402073750601951,0.5972514821743878,0.40274851782561216,loss,-1.0
2026-07-03,NYM,ATL,9.0,8.0,7.172579870656574,under,-110,0.24498728178148266,0.3478638047811281,0.6521361952188719,win,0.9091
2026-07-03,SFG,COL,11.0,18.0,12.459407234296561,over,-110,0.18908068658294552,0.6228517882101143,0.37714821178988567,win,0.9091
2026-07-03,TBR,HOU,8.0,4.0,9.234739031606747,over,-110,0.15376300013189903,0.6043520476881376,0.39564795231186245,loss,-1.0
2026-07-03,BOS,LAA,8.0,7.0,8.664712250478392,over,-110,0.06261521884985055,0.5566079717784931,0.4433920282215069,loss,-1.0
2026-07-03,MIL,ARI,8.5,11.0,9.625685519288158,over,-110,0.13626112970731086,0.5951844012752581,0.404815598724742,win,0.9091
2026-07-03,SDP,LAD,10.0,7.0,9.325935449337745,under,-110,0.0642431582563836,0.4425392980561801,0.5574607019438199,win,0.9091
2026-07-04,PIT,WSN,10.5,8.0,9.907277422762203,under,-110,0.05121072846269592,0.4493658089004926,0.5506341910995074,win,0.9091
2026-07-04,MIN,NYY,10.0,15.0,9.454202379042957,under,-110,0.04374999418882908,0.45327381256775623,0.5467261874322438,loss,-1.0
