date,away_team,home_team,away_runs,home_runs,market_total,over_odds,under_odds,home_wrc_plus,away_wrc_plus,home_sp_xfip,away_sp_xfip,home_bullpen_xfip,away_bullpen_xfip,park_factor,temp_f,wind_out_mph
2026-06-20,CHW,DET,1,4,9.0,-110,-110,100.0,100.0,4.2,4.2,4.5,4.5,98,70,0
2026-06-20,CIN,NYY,10,2,6.5,-110,-110,100.0,100.0,4.2,4.2,2.5,2.5,104,70,0
2026-06-20,TOR,CHC,8,6,8.5,-110,-110,100.0,100.0,4.2,4.2,4.25,4.25,102,70,0
2026-06-20,SDP,TEX,6,4,10.5,-110,-110,100.0,100.0,4.77,4.2,5.17,5.17,103,70,0
2026-06-20,WSN,TBR,4,3,10.0,-110,-110,100.0,100.0,4.2,4.2,5.12,5.12,98,70,0
2026-06-20,SFG,MIA,3,6,9.0,-110,-110,100.0,100.0,4.2,4.2,4.8,4.8,96,70,0
2026-06-20,MIL,ATL,3,4,9.5,-110,-110,100.0,100.0,4.2,4.2,4.75,4.75,101,70,0
2026-06-20,CLE,HOU,8,1,9.0,-110,-110,100.0,100.0,4.2,3.88,4.57,4.57,99,70,0
2026-06-20,NYM,PHI,3,15,9.5,-110,-110,100.0,100.0,4.2,4.99,4.56,4.56,103,70,0
2026-06-20,PIT,COL,1,2,11.5,-110,-110,100.0,100.0,4.2,4.2,5.06,5.06,116,70,0
2026-06-20,LAA,ATH,7,0,9.0,-110,-110,100.0,100.0,3.46,4.2,4.7,4.7,98,70,0
2026-06-20,BAL,LAD,3,2,9.0,-110,-110,100.0,100.0,4.2,4.2,4.59,4.59,100,70,0
2026-06-20,BOS,SEA,5,1,8.5,-110,-110,100.0,100.0,3.26,4.2,4.42,4.42,95,70,0
2026-06-20,MIN,ARI,16,8,8.5,-110,-110,100.0,100.0,4.2,4.2,4.31,4.31,101,70,0
2026-06-21,CIN,NYY,4,1,12.5,-110,-110,41.2,205.9,4.2,4.2,10.0,2.0,104,70,0
2026-06-21,MIL,ATL,9,4,7.0,-110,-110,85.1,63.8,4.2,4.2,3.0,4.0,101,70,0
2026-06-21,WSN,TBR,3,4,7.0,-110,-110,62.3,83.1,4.2,4.2,4.0,3.0,98,70,0
2026-06-21,CHW,DET,4,5,6.5,-110,-110,84.5,21.1,4.2,3.62,1.0,4.0,98,70,0
2026-06-21,SFG,MIA,1,2,8.5,-110,-110,127.1,63.5,5.31,4.2,3.0,6.0,96,70,0
2026-06-21,CLE,HOU,1,2,9.0,-110,-110,22.0,175.7,4.2,4.2,8.0,1.0,99,70,0
2026-06-21,STL,KCR,12,10,9.0,-110,-110,100.0,100.0,4.2,4.2,4.4,4.4,101,70,0
2026-06-21,SDP,TEX,3,4,10.5,-110,-110,84.8,127.3,4.2,4.2,6.0,4.0,103,70,0
2026-06-21,PIT,COL,8,6,6.5,-110,-110,42.9,21.5,4.2,3.81,1.0,2.0,116,70,0
2026-06-21,MIN,ARI,4,2,12.5,-110,-110,168.0,336.1,4.2,4.2,16.0,8.0,101,70,0
2026-06-21,LAA,ATH,9,7,7.0,-110,-110,0.0,149.3,4.2,4.2,7.0,0.0,98,70,0
2026-06-21,BAL,LAD,12,1,6.5,-110,-110,41.5,62.2,4.2,4.2,3.0,2.0,100,70,0
2026-06-21,BOS,SEA,1,3,6.5,-110,-110,20.5,102.4,4.2,4.2,5.0,1.0,95,70,0
2026-06-21,NYM,PHI,2,6,12.5,-110,-110,314.0,62.8,4.2,4.2,3.0,15.0,103,70,0
2026-06-22,NYY,DET,3,5,7.5,-110,-110,94.7,31.6,4.2,4.2,2.5,7.0,98,70,0
2026-06-22,KCR,TBR,2,1,12.5,-110,-110,74.1,211.7,4.2,4.2,3.5,12.0,98,70,0
2026-06-22,TEX,MIA,4,3,7.0,-110,-110,86.6,86.6,4.2,4.2,2.0,4.5,96,70,0
2026-06-22,PHI,WSN,1,4,10.0,-110,-110,76.4,229.2,4.2,4.2,3.5,2.5,100,70,0
2026-06-22,HOU,TOR,2,4,10.0,-110,-110,177.2,33.2,4.2,4.2,6.0,4.5,101,70,0
2026-06-22,MIL,CIN,2,1,10.0,-110,-110,156.6,134.2,4.35,4.2,1.5,4.0,107,70,0
2026-06-22,LAD,MIN,2,1,12.0,-110,-110,228.2,34.2,4.2,4.2,5.0,7.5,99,70,0
2026-06-22,CLE,CHW,5,6,6.5,-110,-110,58.1,104.7,4.2,4.2,4.5,1.5,101,70,0
2026-06-22,ARI,STL,2,3,12.5,-110,-110,276.9,115.4,4.2,4.2,10.0,10.0,98,70,0
2026-06-22,BOS,COL,2,3,8.0,-110,-110,93.4,70.0,4.2,4.2,4.5,2.0,116,70,0
2026-06-22,BAL,LAA,6,1,10.0,-110,-110,188.8,177.0,4.2,4.2,3.5,1.5,99,70,0
2026-06-22,ATL,SDP,0,1,9.0,-110,-110,106.7,94.8,4.2,3.88,4.0,6.0,96,70,0
2026-06-23,HOU,TOR,9,7,8.0,-110,-110,145.5,40.4,4.2,4.2,4.0,4.33,101,70,0
2026-06-23,SEA,PIT,3,2,6.5,-110,-110,106.6,47.4,4.2,4.2,4.0,3.0,96,70,0
2026-06-23,KCR,TBR,12,5,9.0,-110,-110,63.8,143.6,4.2,4.2,3.0,6.5,98,70,0
2026-06-23,TEX,MIA,4,6,7.0,-110,-110,85.7,93.5,4.2,4.2,2.67,4.0,96,70,0
2026-06-23,NYY,DET,4,3,7.5,-110,-110,108.6,46.6,4.2,4.2,2.67,6.33,98,70,0
2026-06-23,PHI,WSN,14,9,8.5,-110,-110,85.7,171.4,4.2,3.57,2.67,3.0,100,70,0
2026-06-23,CHC,NYM,9,6,12.5,-110,-110,56.4,135.3,4.2,4.2,10.5,8.0,97,70,0
2026-06-23,MIL,CIN,2,0,7.5,-110,-110,111.1,103.7,4.2,4.2,1.67,3.0,107,70,0
2026-06-23,LAD,MIN,12,3,9.0,-110,-110,158.1,37.6,4.2,4.2,4.0,5.33,99,70,0
2026-06-23,CLE,CHW,1,2,8.0,-110,-110,81.7,103.9,4.2,4.2,4.67,3.0,101,70,0
2026-06-23,ARI,STL,4,3,12.5,-110,-110,169.3,90.3,4.2,2.48,6.0,7.67,98,70,0
2026-06-23,BOS,COL,5,2,7.0,-110,-110,83.1,60.4,4.2,4.2,3.67,2.33,116,70,0
2026-06-23,BAL,LAA,1,5,9.0,-110,-110,129.0,159.3,4.2,4.2,4.33,1.33,99,70,0
2026-06-23,ATL,SDP,6,7,6.5,-110,-110,76.3,61.1,4.2,4.2,2.67,4.33,96,70,0
2026-06-23,ATH,SFG,1,3,8.5,-110,-110,45.4,79.4,4.2,4.2,4.0,8.0,96,70,0
2026-06-24,TEX,MIA,2,4,7.5,-110,-110,97.4,91.7,4.2,4.2,3.0,4.5,96,70,0
2026-06-24,CHC,NYM,10,3,12.5,-110,-110,84.5,172.8,4.2,3.75,10.0,7.0,97,70,0
