date,away_team,home_team,market_total,over_odds,under_odds,sportsbook,commence_time,home_wrc_plus,away_wrc_plus,home_sp_xfip,away_sp_xfip,home_bullpen_xfip,away_bullpen_xfip,park_factor,temp_f,wind_out_mph,wind_mph,wind_dir_degrees,roof,home_sp_name,away_sp_name,venue_name,game_id
2026-09-24,STL,PIT,7.0,-105,-115,betonlineag,2026-09-24T16:36:00Z,88.1,108.9,3.91,3.65,3.76,5.17,96,60.3,-8.0,9.1,59.0,no,Paul Skenes,Kyle Leahy,PNC Park,823326
2026-09-24,CHW,KCR,9.0,-104,-117,mybookieag,2026-09-24T18:11:00Z,103.7,106.3,3.08,6.29,4.46,4.56,101,74.8,-1.9,3.7,104.0,no,Randy Dobnak,David Sandlin,Kauffman Stadium,824059
2026-09-24,MIA,CHC,7.5,-114,-106,fanduel,2026-09-24T18:21:00Z,129.6,103.1,4.06,3.45,4.79,4.87,102,63.6,-6.0,8.5,85.0,no,Matthew Boyd,Tyler Phillips,Wrigley Field,824623
2026-09-24,NYM,TEX,8.5,-106,-114,fanduel,2026-09-24T18:36:00Z,94.9,104.8,4.47,3.4,4.45,4.41,103,91.0,0,5.0,126.0,yes,Kumar Rocker,Zac Thornton,Globe Life Field,822842
2026-09-24,ARI,COL,10.0,-112,-109,mybookieag,2026-09-24T19:11:00Z,92.1,96.8,6.01,2.89,5.95,4.28,116,65.6,-1.5,4.6,299.0,no,Tanner Gordon,Eduardo Rodriguez,Coors Field,824298
2026-09-24,MIL,PHI,8.5,105,-125,bovada,2026-09-24T22:06:00Z,101.4,126.3,5.59,3.67,3.79,4.08,103,63.3,-7.7,12.0,45.0,no,Andrew Painter,Bryse Wilson,Citizens Bank Park,823411
2026-09-24,CLE,BOS,7.5,-110,-110,fanduel,2026-09-24T22:46:00Z,86.6,103.1,3.27,4.73,3.95,3.85,105,56.5,-10.3,10.3,48.0,no,Ranger Suarez,Daniel Espino,Fenway Park,824707
2026-09-24,TBR,NYY,6.5,-122,100,fanduel,2026-09-24T23:06:00Z,108.9,107.4,1.94,4.38,3.38,3.98,104,62.7,-5.1,7.7,26.0,no,Cam Schlittler,Ian Seymour,Yankee Stadium,823493
2026-09-24,CIN,ATL,7.5,-110,-110,fanduel,2026-09-24T23:16:00Z,83.7,90.9,3.81,5.67,3.8,6.15,101,68.0,1.3,7.2,60.0,no,Tyler Mahle,Brady Singer,Truist Park,824866
2026-09-24,LAA,SEA,7.5,106,-130,fanduel,2026-09-25T01:41:00Z,102.5,84.8,3.92,5.96,5.67,3.83,95,56.0,0,3.3,20.0,yes,Bryan Woo,Grayson Rodriguez,T-Mobile Park,823087
2026-09-24,SDP,LAD,7.5,-106,-114,fanduel,2026-09-25T02:11:00Z,110.6,110.0,3.46,3.3,3.48,3.67,100,68.7,4.0,5.0,257.0,no,Tyler Glasnow,Nick Pivetta,UNIQLO Field at Dodger Stadium,823895
