date,away_team,home_team,home_wrc_plus,away_wrc_plus,home_sp_xfip,away_sp_xfip,home_bullpen_xfip,away_bullpen_xfip,park_factor,temp_f,wind_out_mph,wind_mph,wind_dir_degrees,roof,home_sp_name,away_sp_name,venue_name,game_id,commence_time
2026-08-18,NYY,BAL,102.9,79.2,4.0,3.3,4.44,3.62,98,86.9,0.4,7.0,297.0,no,Shane Baz,Carlos Rodón,Oriole Park at Camden Yards,824803,2026-08-18T22:35:00Z
2026-08-18,DET,PIT,108.2,124.6,3.82,3.22,4.61,3.3,96,79.6,4.9,8.3,264.0,no,Braxton Ashcraft,Keider Montero,PNC Park,823341,2026-08-18T22:40:00Z
2026-08-18,SFG,CLE,87.7,96.4,3.25,6.11,4.58,4.24,97,79.1,-0.3,7.3,282.0,no,Foster Griffin,Carson Whisenhunt,Progressive Field,824398,2026-08-18T22:40:00Z
2026-08-18,STL,CIN,86.7,88.1,4.13,3.38,4.55,4.0,107,82.6,5.8,5.9,310.0,no,Andrew Abbott,Kyle Leahy,Great American Ball Park,824475,2026-08-18T22:40:00Z
2026-08-18,TOR,TBR,103.7,81.3,2.74,3.16,4.21,4.37,98,88.9,0,11.2,272.0,yes,Nick Martinez,José Soriano,Tropicana Field,822938,2026-08-18T22:40:00Z
2026-08-18,MIA,PHI,101.6,93.9,2.89,5.61,4.34,4.11,103,78.4,1.7,2.9,328.0,no,Zack Wheeler,Cade Gibson,Citizens Bank Park,823423,2026-08-18T22:40:00Z
2026-08-18,ARI,BOS,127.0,114.8,3.25,5.11,3.15,4.1,105,74.1,-4.2,5.8,88.0,no,Ranger Suarez,Merrill Kelly,Fenway Park,824723,2026-08-18T23:10:00Z
2026-08-18,SDP,NYM,105.2,112.4,2.78,3.28,4.37,3.82,97,76.5,5.9,6.5,166.0,no,Zac Thornton,Robbie Ray,Citi Field,823586,2026-08-18T23:10:00Z
2026-08-18,ATH,KCR,95.1,85.3,4.20,7.27,4.82,6.78,101,92.0,1.3,4.6,151.0,no,,Jack Perkins,Kauffman Stadium,824075,2026-08-18T23:40:00Z
2026-08-18,ATL,MIN,92.7,112.4,5.34,4.64,4.54,4.21,99,82.4,7.6,7.9,290.0,no,Zebby Matthews,Tyler Mahle,Target Field,823667,2026-08-18T23:40:00Z
2026-08-18,SEA,MIL,96.1,83.3,2.99,3.39,4.0,4.64,101,83.9,0,12.8,248.0,yes,Kyle Harrison,Bryce Miller,American Family Field,823749,2026-08-18T23:40:00Z
2026-08-18,WSN,TEX,87.8,117.3,3.44,6.75,5.08,5.24,103,70,0,0,0,unknown,Cal Quantrill,Jackson Kent,Globe Life Field,822859,2026-08-19T00:05:00Z
2026-08-18,CHW,CHC,121.4,111.1,4.53,4.20,3.89,4.3,102,70,0,0,0,unknown,Kevin Gausman,,Wrigley Field,824639,2026-08-19T00:05:00Z
2026-08-18,LAA,HOU,113.6,71.9,6.68,5.52,4.49,4.19,99,70,0,0,0,unknown,Cristian Javier,George Klassen,Daikin Park,824154,2026-08-19T00:10:00Z
2026-08-18,LAD,COL,106.7,91.5,5.59,4.67,5.83,4.59,116,70,0,0,0,unknown,Ryan Feltner,Eric Lauer,Coors Field,824319,2026-08-19T00:40:00Z
