date,away_team,home_team,market_total,over_odds,under_odds,sportsbook,commence_time,home_wrc_plus,away_wrc_plus,home_sp_xfip,away_sp_xfip,home_bullpen_xfip,away_bullpen_xfip,park_factor,temp_f,wind_out_mph,wind_mph,wind_dir_degrees,roof,home_sp_name,away_sp_name,venue_name,game_id,model_total,under_probability,over_probability,market_over_probability,market_under_probability,over_ev,under_ev,best_side,best_ev,edge_label
2026-09-06,MIL,CIN,9.0,-103,-117,draftkings,2026-09-06T16:10:00Z,94.8,113.7,4.83,3.45,5.27,4.02,107,78.4,-1.4,7.9,40.0,no,Brady Singer,Kyle Harrison,Great American Ball Park,824469,8.45008566051247,0.549254286304576,0.45074571369542404,0.5073891625615764,0.5391705069124424,-0.11163708854202836,0.0187023942572051,under,0.0187023942572051,pass
2026-09-06,ATL,PHI,8.0,-115,-104,draftkings,2026-09-06T17:10:00Z,110.8,88.1,4.93,4.25,3.56,3.51,103,75.1,-1.1,5.6,16.0,no,Aaron Nola,Tyler Mahle,Citizens Bank Park,823417,8.865889056375446,0.4227361156745481,0.5772638843254518,0.5348837209302325,0.5098039215686274,0.07923247939106215,-0.17078685002300176,over,0.07923247939106215,lean
2026-09-06,BOS,BAL,7.5,-118,-102,draftkings,2026-09-06T17:35:00Z,96.0,115.9,4.01,3.23,4.55,4.14,98,81.3,-6.7,7.6,2.0,no,Kyle Bradish,Payton Tolle,Oriole Park at Camden Yards,824794,7.496774888571054,0.5002896019635064,0.49971039803649364,0.5412844036697247,0.504950495049505,-0.07680621379698638,-0.009230396111487349,under,-0.009230396111487349,pass
2026-09-06,LAA,PIT,7.5,-105,-115,draftkings,2026-09-06T17:35:00Z,85.7,79.1,3.97,2.85,4.4,3.92,96,72.8,-7.2,7.2,36.0,no,Paul Skenes,Walbert Ureña,PNC Park,823336,7.020430796061743,0.5429798965766549,0.4570201034233451,0.5121951219512195,0.5348837209302325,-0.10772265522108815,0.015136328382441722,under,0.015136328382441722,pass
2026-09-06,DET,CLE,7.5,-108,-111,draftkings,2026-09-06T17:40:00Z,92.0,109.7,3.81,4.63,4.3,4.22,97,75.5,-9.6,9.9,23.0,no,Gavin Williams,Jackson Jobe,Progressive Field,824385,9.155994783998064,0.35467107277685195,0.645328927223148,0.5192307692307693,0.5260663507109005,0.24285571168902598,-0.3258054382349931,over,0.24285571168902598,watch
2026-09-06,SFG,NYM,8.5,-110,-110,draftkings,2026-09-06T17:40:00Z,101.4,102.6,3.8,2.25,4.08,4.71,97,73.0,-6.8,6.9,19.0,no,Christian Scott,Cesar Perdomo,Citi Field,823578,6.230312501350664,0.695279950270073,0.30472004972992695,0.5238095238095238,0.5238095238095238,-0.4182617232428667,0.3273526323337759,under,0.3273526323337759,watch
2026-09-06,CHC,MIA,8.0,-114,-106,fanduel,2026-09-06T17:41:00Z,93.7,136.6,3.43,2.09,4.17,4.17,96,87.0,0,4.5,288.0,yes,Tyler Phillips,Clay Holmes,loanDepot park,823822,6.060835361342999,0.6687546837878505,0.3312453162121495,0.5327102803738317,0.5145631067961165,-0.37818861693508776,0.29965532887072843,under,0.29965532887072843,watch
2026-09-06,ARI,HOU,8.0,-105,-115,draftkings,2026-09-06T18:10:00Z,100.8,98.7,3.66,2.59,4.21,4.29,99,85.8,0,5.9,43.0,yes,Peter Lambert,Eduardo Rodriguez,Daikin Park,824142,6.95583216077999,0.5929059656203528,0.4070940343796472,0.5121951219512195,0.5348837209302325,-0.20519736144926026,0.10847637050761594,under,0.10847637050761594,watch
2026-09-06,TOR,KCR,9.5,-120,-102,fanduel,2026-09-06T18:11:00Z,98.9,98.7,2.65,4.82,4.25,3.59,101,97.7,-5.2,6.5,82.0,no,Randy Dobnak,Spencer Arrighetti,Kauffman Stadium,824065,10.283900650939401,0.42997242942782493,0.5700275705721751,0.5454545454545454,0.504950495049505,0.04505054604898784,-0.1484859730939153,over,0.04505054604898784,lean
2026-09-06,TBR,TEX,7.5,-110,-110,fanduel,2026-09-06T18:36:00Z,89.2,102.0,4.31,4.21,4.29,4.05,103,97.3,0,7.8,88.0,yes,MacKenzie Gore,Ian Seymour,Globe Life Field,822848,9.126018949449032,0.3571852835797247,0.6428147164202753,0.5238095238095238,0.5238095238095238,0.22719173134779846,-0.3181008222568892,over,0.22719173134779846,watch
