date,away_team,home_team,market_total,over_odds,under_odds,source
2026-05-15,PHI,PIT,,,,
2026-05-15,BAL,WSN,,,,
2026-05-15,TOR,DET,,,,
2026-05-15,CIN,CLE,,,,
2026-05-15,MIA,TBR,,,,
2026-05-15,MIL,MIN,,,,
2026-05-15,BOS,ATL,,,,
2026-05-15,NYY,NYM,,,,
2026-05-15,CHC,CHW,,,,
2026-05-15,TEX,HOU,,,,
2026-05-15,KCR,STL,,,,
2026-05-15,ARI,COL,,,,
2026-05-15,LAD,LAA,,,,
2026-05-15,SDP,SEA,,,,
2026-05-15,SFG,ATH,,,,
2026-05-16,TOR,DET,,,,
2026-05-16,KCR,STL,,,,
2026-05-16,ARI,COL,,,,
2026-05-16,BAL,WSN,,,,
2026-05-16,PHI,PIT,,,,
2026-05-16,MIA,TBR,,,,
2026-05-16,CIN,CLE,,,,
2026-05-16,TEX,HOU,,,,
2026-05-16,CHC,CHW,,,,
2026-05-16,MIL,MIN,,,,
2026-05-16,SDP,SEA,,,,
2026-05-16,BOS,ATL,,,,
2026-05-16,NYY,NYM,,,,
2026-05-16,LAD,LAA,,,,
2026-05-16,SFG,ATH,,,,
2026-05-17,MIA,TBR,,,,
2026-05-17,BAL,WSN,,,,
2026-05-17,PHI,PIT,,,,
2026-05-17,BOS,ATL,,,,
2026-05-17,CIN,CLE,,,,
2026-05-17,TOR,DET,,,,
2026-05-17,NYY,NYM,,,,
2026-05-17,TEX,HOU,,,,
2026-05-17,CHC,CHW,,,,
2026-05-17,MIL,MIN,,,,
2026-05-17,KCR,STL,,,,
2026-05-17,ARI,COL,,,,
2026-05-17,SFG,ATH,,,,
2026-05-17,LAD,LAA,,,,
2026-05-17,SDP,SEA,,,,
2026-05-18,CLE,DET,,,,
2026-05-18,BAL,TBR,,,,
2026-05-18,CIN,PHI,,,,
2026-05-18,ATL,MIA,,,,
2026-05-18,NYM,WSN,,,,
2026-05-18,TOR,NYY,,,,
2026-05-18,BOS,KCR,,,,
2026-05-18,HOU,MIN,,,,
2026-05-18,MIL,CHC,,,,
2026-05-18,TEX,COL,,,,
2026-05-18,ATH,LAA,,,,
2026-05-18,LAD,SDP,,,,
2026-05-18,SFG,ARI,,,,
2026-05-18,CHW,SEA,,,,
2026-05-19,ATL,MIA,,,,
2026-05-19,CLE,DET,,,,
2026-05-19,BAL,TBR,,,,
2026-05-19,CIN,PHI,,,,
2026-05-19,NYM,WSN,,,,
2026-05-19,TOR,NYY,,,,
2026-05-19,BOS,KCR,,,,
2026-05-19,HOU,MIN,,,,
2026-05-19,MIL,CHC,,,,
2026-05-19,PIT,STL,,,,
2026-05-19,TEX,COL,,,,
2026-05-19,ATH,LAA,,,,
2026-05-19,LAD,SDP,,,,
2026-05-19,SFG,ARI,,,,
2026-05-19,CHW,SEA,,,,
2026-05-20,CIN,PHI,,,,
2026-05-20,BAL,TBR,,,,
2026-05-20,HOU,MIN,,,,
2026-05-20,TEX,COL,,,,
2026-05-20,SFG,ARI,,,,
2026-05-20,CHW,SEA,,,,
2026-05-20,CLE,DET,,,,
2026-05-20,ATL,MIA,,,,
2026-05-20,NYM,WSN,,,,
2026-05-20,TOR,NYY,,,,
2026-05-20,BOS,KCR,,,,
2026-05-20,MIL,CHC,,,,
2026-05-20,PIT,STL,,,,
2026-05-20,LAD,SDP,,,,
2026-05-20,ATH,LAA,,,,
2026-05-21,CLE,DET,,,,
2026-05-21,PIT,STL,,,,
2026-05-21,NYM,WSN,,,,
2026-05-21,ATL,MIA,,,,
2026-05-21,TOR,NYY,,,,
2026-05-21,ATH,LAA,,,,
2026-05-21,COL,ARI,,,,
2026-05-22,HOU,CHC,,,,
2026-05-22,CLE,PHI,,,,
2026-05-22,TBR,NYY,,,,
2026-05-22,PIT,TOR,,,,
2026-05-22,MIN,BOS,,,,
2026-05-22,NYM,MIA,,,,
2026-05-22,DET,BAL,,,,
2026-05-22,WSN,ATL,,,,
2026-05-22,SEA,KCR,,,,
2026-05-22,LAD,MIL,,,,
2026-05-22,TEX,LAA,,,,
2026-05-22,COL,ARI,,,,
2026-05-22,ATH,SDP,,,,
2026-05-22,CHW,SFG,,,,
2026-05-23,STL,CIN,,,,
2026-05-23,HOU,CHC,,,,
2026-05-23,PIT,TOR,,,,
2026-05-23,CLE,PHI,,,,
2026-05-23,CHW,SFG,,,,
2026-05-23,SEA,KCR,,,,
2026-05-23,MIN,BOS,,,,
2026-05-23,WSN,ATL,,,,
2026-05-23,NYM,MIA,,,,
2026-05-23,LAD,MIL,,,,
2026-05-23,ATH,SDP,,,,
2026-05-23,TEX,LAA,,,,
2026-05-23,COL,ARI,,,,
2026-05-24,PIT,TOR,,,,
2026-05-24,DET,BAL,,,,
2026-05-24,MIN,BOS,,,,
2026-05-24,CLE,PHI,,,,
2026-05-24,TBR,NYY,,,,
2026-05-24,NYM,MIA,,,,
