mlbam_id,pitcher_name,xfip
696270,Ryan Johnson,7.11
687064,Brandon Young,3.43
686930,Mason Barnett,5.56
671096,Andrew Abbott,3.92
690997,Nolan McLean,3.51
656492,Foster Griffin,3.31
677952,Braxton Ashcraft,4.08
669160,Dustin May,4.3
656302,Dylan Cease,2.28
656849,David Peterson,5.35
664285,Framber Valdez,4.17
682243,Bryce Miller,3.08
571945,Miles Mikolas,5.89
650911,Cristopher Sánchez,2.65
622491,Luis Castillo,5.3
624133,Ranger Suarez,3.32
676083,Janson Junk,4.63
527048,Martín Pérez,3.14
641927,Bailey Ober,4.45
608379,Michael Wacha,3.44
621111,Walker Buehler,5.18
684442,Kohl Drake,4.85
