game_id,temp_f,wind_out_mph,wind_mph,wind_dir_degrees,roof
823342,75.2,4.2,4.2,205.0,no
823587,82.6,5.8,5.8,196.0,no
823664,77.4,3.2,5.1,326.0,no
824640,71.1,-7.7,7.8,49.0,no
824722,80.1,3.7,5.1,268.0,no
823424,82.3,3.8,3.8,267.0,no
824801,82.8,1.6,2.9,266.0,no
824394,74.6,-0.6,3.1,291.0,no
824476,76.4,-1.6,2.0,84.0,no
822937,84.5,0,5.4,279.0,yes
824076,77.5,0.8,5.9,143.0,no
823748,70.2,0,3.9,66.0,yes
822860,102.7,0,7.2,182.0,yes
824155,88.1,0,8.1,186.0,yes
824318,89.2,-10.6,12.1,39.0,no
